iter	Logloss
0	0.6051803146
1	0.5444576221
2	0.4981837296
3	0.460921783
4	0.4404600323
5	0.4212985062
6	0.4074073895
7	0.3946710887
8	0.3903187487
9	0.3803654278
10	0.3730720721
11	0.3648003621
12	0.3572298169
13	0.3509241659
14	0.3449395595
15	0.3410324937
16	0.3378581806
17	0.3345634362
18	0.3301883418
19	0.3275991029
20	0.3225485219
21	0.3193519493
22	0.3159026935
23	0.3155433984
24	0.3137620254
25	0.3115493259
26	0.3093392911
27	0.3074173515
28	0.3053418792
29	0.30417753
30	0.3022633199
31	0.3004685887
32	0.298803219
33	0.2972109395
34	0.2954600127
35	0.2940686603
36	0.2928358911
37	0.2910338017
38	0.2889164659
39	0.2873567352
40	0.2866616416
41	0.2845400481
42	0.282858092
43	0.2826498412
44	0.2820816781
45	0.281037964
46	0.2807222227
47	0.2802456019
48	0.2797384078
49	0.2785346689
50	0.2771307328
51	0.275696549
52	0.2745873871
53	0.2731302013
54	0.2722460745
55	0.2711958362
56	0.2700232961
57	0.2690784231
58	0.2683487207
59	0.2683422504
60	0.2665507798
61	0.2657284755
62	0.2643526097
63	0.2629889956
64	0.2616215661
65	0.2598767957
66	0.2585374228
67	0.2566037275
68	0.2557119893
69	0.2545938491
70	0.2533209851
71	0.2526460402
72	0.2524722193
73	0.252061315
74	0.2510626628
75	0.2505816413
76	0.2499009353
77	0.2493108725
78	0.2489632317
79	0.2481949924
80	0.2474944288
81	0.2466351443
82	0.2458809699
83	0.2452878533
84	0.244512089
85	0.2432433597
86	0.2416179183
87	0.241127092
88	0.2400833685
89	0.2386855486
90	0.237964305
91	0.2369340354
92	0.2364981478
93	0.2353488445
94	0.234881997
95	0.2334381711
96	0.2330815498
97	0.2328314428
98	0.2323009128
99	0.2317362302
100	0.2306935158
101	0.2301149209
102	0.2297365125
103	0.2284866316
104	0.2274865179
105	0.2273338113
106	0.2266962072
107	0.2259767386
108	0.225673934
109	0.2247546479
110	0.224512486
111	0.2238686307
112	0.2232726976
113	0.2224978088
114	0.2216729695
115	0.2207994243
116	0.2205470054
117	0.2201481883
118	0.2195363972
119	0.2183951106
120	0.2179919911
121	0.2175512041
122	0.2173641797
123	0.2169481355
124	0.2167668629
125	0.2163968758
126	0.2160045682
127	0.2157545038
128	0.2155946565
129	0.2150588996
130	0.2144977246
131	0.2139844562
132	0.2134593053
133	0.2131205406
134	0.2127345566
135	0.2122702877
136	0.211597206
137	0.2110529077
138	0.2101478228
139	0.209815569
140	0.2094430075
141	0.2089705919
142	0.2086853342
143	0.208157521
144	0.2077535205
145	0.2073027784
146	0.2070365052
147	0.2063526113
148	0.2052351397
149	0.2048004814
150	0.2041133986
151	0.203787056
152	0.2028325257
153	0.2023681325
154	0.201645124
155	0.2013236944
156	0.20095398
157	0.2007244108
158	0.2005347607
159	0.2003249095
160	0.1998651214
161	0.1996265154
162	0.1992660091
163	0.1988803932
164	0.1985192485
165	0.1982106918
166	0.1979293231
167	0.1972943479
168	0.196406164
169	0.1960752554
170	0.1958521007
171	0.1954734913
172	0.1946420403
173	0.1940163996
174	0.1933118165
175	0.192846483
176	0.1927166491
177	0.1923770931
178	0.1921417924
179	0.1911696671
180	0.1907685295
181	0.1899815543
182	0.189590004
183	0.1893480245
184	0.1892334847
185	0.1884502096
186	0.187350151
187	0.1871110332
188	0.1869185082
189	0.1867055765
190	0.1862689595
191	0.1855244464
192	0.1850867537
193	0.1844995623
194	0.1842638703
195	0.1840038712
196	0.183625397
197	0.1832663603
198	0.182729917
199	0.1824943255
